id_empresa,nombre_empresa,id_empresa_bandera,direccion,localidad,provincia,region,latitud,longitud
8343,MARTIN Y CIA SRL,28,RUTA NACIONA N° 95 KM 1226,CASTELLI,CHACO,Noreste,-25.94718,-60.598612
8344,OPESSA,2,AUTOPISTA ROSARIO  CORDOBA KM 448,LEONES,CORDOBA,Centro,-32.638099,-62.245198
8346,OTAMENDI Y CIA. S.R.L.,2,Ruta Prov. 12 y Ruta Pro. 99,CAÑADON SECO,SANTA CRUZ,Patagonia,-46.546551,-67.603245
8348,EESS NUEVA BORGHETTO S.A,2,AVENIDA DORREGO 443,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.595253,-58.451369
8349,COMBUSTIBLES LA CELESTINA S.A.,4,Manuel Obarrio 330,MORENO,BUENOS AIRES,Pampeana,-34.657745,-58.808312
8351,STERZER VIRGILIO,6,RUTA89 KM306,GANCEDO,CHACO,Noreste,-27.488008,-61.667656
8352,ESTACION BRUSA SRL,1,AV. BELGRANO 2910,PEREZ,SANTA FE,Centro,-33.005651,-60.787195
8354,POSTA PILAR S.A.,4,Ruta Nacional Nro. 8 Km 56,PILAR,BUENOS AIRES,Pampeana,-34.449467,-58.950938
8355,"SBARBATI, FELICE Y MAGNO S.A.",26,Av. Avellaneda 280,PIGUE,BUENOS AIRES,Pampeana,-37.59838,-62.40936
8356,COMBUSTIBLES Y SERVICIOS 13 DE DICIEMBRE SRL,2,Tucuman 515,COMODORO RIVADAVIA,CHUBUT,Patagonia,-45.87033,-67.50756
8357,SENA HUMBERTO FABRICIO,26,Huascha 2615,CORDOBA,CORDOBA,Centro,-31.440666,-64.160479
8358,TRAPEM S.A.,28,Jacinto Peralta Ramos 1999,MAR DEL PLATA,BUENOS AIRES,Pampeana,-38.03229,-57.587749
8359,ESTACION FERREYRA SRL,2,MARIANO SANCHEZ DE LORIA 5085,CORDOBA,CORDOBA,Centro,-31.459941,-64.107821
8361,BERTONE Y COURTADE SRL,2,Avenida 2 N° 3095 Y CALLE 119,MERCEDES,BUENOS AIRES,Pampeana,-34.66501,-59.4116
8363,LABANDOCZKA SILVIA MARIANA,26,AV. PADRE LADISLAO SARLEY S/Nº,25 DE MAYO,MISIONES,Noreste,-27.36873,-54.75216
8364,LURBEL S.A.,6,AV. PERON 581,CHILECITO,LA RIOJA,Noroeste,-29.172564,-67.494566
8365,TOLEDO  ORLANDO MANUEL,1,UNION Y MANUEL SUSSINI,LA CRUZ,CORRIENTES,Noreste,-29.17355,-56.64431
8367,ARGUMAL SA,1,25 de Mayo Nº 2692,LANUS,BUENOS AIRES,Pampeana,-34.690909,-58.426471
8370,ANJOR S.A.,4,AV. RICHIERI 2626/2640,CORDOBA,CORDOBA,Centro,-31.44185,-64.17681
8372,SILOE S.R.L.,1,AVDA. MONSEÑOR TAVELLA 2002,SALTA,SALTA,Noroeste,-24.81348,-65.40033
8373,ORDOÑEZ SRL,2,General Paz 225,CHOS MALAL,NEUQUEN,Patagonia,-37.37485,-70.27371
8374,PETRONNET COMBUSTIBLES S.A.,28,CAMINO GRAL. BELGRANO 0 - ESQUINA : 492,MANUEL B. GONNET,BUENOS AIRES,Pampeana,-34.887249,-58.028847
8375,BEKAGRO SRL,26,AUTOPISTA JUAN DOMINGO PERON S/N,LA BANDA,SANTIAGO DEL ESTERO,Noroeste,-27.767624,-64.250861
8377,ESTACION DE SERVICIOS BONANNO S.A.,4,San Martin 800,LUJAN DE CUYO,MENDOZA,Cuyo,-33.033237,-68.878061
8379,CASTAÑO AUTOVOR SRL,4,AUT DELLEPIANE 6017 MANO PROVINCIA,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.67741,-58.47977
8380,ESTANCIA GRANDE SRL,2,RUTA 14 KM 246,CONCORDIA,ENTRE RIOS,Centro,-31.46866,-58.15214
8381,AGROTRANSPORTE S.R.L.,29,Ruta Nac 95 Km 848 ACCESO A VILLA MINETTI,VILLA MINETTI,SANTA FE,Centro,-28.630666,-61.523738
8382,SAIFAN SARA ROSA,1,RUTA NAC 157-KM 1205,SIMOCA,TUCUMAN,Cuyo,-27.254991,-65.352486
8383,SION SRL,1,AV. JUAN MANUEL DE ROSAS Y 9 DE JULIO (LADO SUR),EL CARMEN,JUJUY,Noroeste,-24.38875,-65.25676
8384,SEFAC PEHUAJO S.A.,26,GUEMES 410,PEHUAJO,BUENOS AIRES,Pampeana,-35.816421,-61.910109
8385,EL PIAVE SA,1,Av. Marijena N°24,PALPALA,JUJUY,Noroeste,-24.252132,-65.206027
8389,MEDRANO DE LA SERNA MARCELO,1,AV JUAN M ROSAS ESQ BANCHIK 0,SALTA,SALTA,Noroeste,-24.83862,-65.461798
8395,EL UNICO S.A.,26,Juan B. Justo 10,MAR DEL PLATA,BUENOS AIRES,Pampeana,-38.04079,-57.54261
8397,FRIULI S.R.L.,2,CORRIENTES 1975,SAN SALVADOR DE JUJUY,JUJUY,Noroeste,-24.21038,-65.27972
8398,CORREA JUAN ESEQUIEL,6,"Ruta Nacional Nº 9, KM 784.",TOTORAL,CORDOBA,Centro,-30.71252,-64.0574
8400,HECMA S.R.L.,28,KENNETH WOODLEY 1215,PUERTO MADRYN,CHUBUT,Patagonia,-42.749824,-65.0386
8401,KAYSER SRL,28,AV. LA PLATA 1400,QUILMES,BUENOS AIRES,Pampeana,-34.733427,-58.279483
8402,TEXAS ENERGY SRL,1,AVENIDA LAS AMERICAS 411,SAN MIGUEL DE TUCUMAN,TUCUMAN,Cuyo,-26.815549,-65.249303
8404,SILANDRE SRL,1,R.N. N° 34 Y R.P. N°53 LAS CAÑADAS,EL CARMEN,JUJUY,Noroeste,-24.438914,-65.012756
8406,TREMEN SRL,26,ANGEL GALLARDO 1472,SAN CARLOS DE BARILOCHE,RIO NEGRO,Patagonia,-41.13871,-71.28922
8408,PETROVALLE S A,2,Ruta Nac. 14 kilometro 495,PASO DE LOS LIBRES,CORRIENTES,Noreste,-29.714474,-57.216356
8409,POGGIO DIEGO LUCIANO,1,RUTA PROVINCIAL 90 KM 67.7,MAXIMO PAZ,SANTA FE,Centro,-33.49353,-60.94884
8410,VILLAPAS SA,2,JUAN MANUEL DE ROSAS 3002,SAN JUSTO,BUENOS AIRES,Pampeana,-34.67936,-58.5497
8412,SILZA S.R.L.,2,SAN MARTIN Y CORRIENTES,FEDERACION,ENTRE RIOS,Centro,-30.99317,-57.91749
8413,MONTECOMB S.A.,28,Ruta Nacional 3 Km 104.5,SAN MIGUEL DEL MONTE,BUENOS AIRES,Pampeana,-35.38862,-58.80912
8415,CUMELCAN SRL,28,Juan B. Justo  N*4885,MAR DEL PLATA,BUENOS AIRES,Pampeana,-38.007572,-57.585834
8416,TERANO SA,2,ARENALES Y SAN MARTIN,VEDIA,BUENOS AIRES,Pampeana,-34.49543,-61.54189
8417,TERANO SA,2,BRASIL Y BOLIVIA,EL TRIUNFO,BUENOS AIRES,Pampeana,-35.08649,-61.51842
8418,MACIAS JORGE HORACIO,2,AV PEDRO FERRE 2590,CORRIENTES,CORRIENTES,Noreste,-27.47817,-58.82004
8421,ESDH S.A.,4,MARIANO MORENO 301,LAS VARILLAS,CORDOBA,Centro,-31.875504,-62.716709
8422,CAROSI HERNAN ARIEL,1,RUTA PROVINCIAL 21  KM 268,FIGHIERA,SANTA FE,Centro,-33.18678,-60.47206
8423,DJGM COMBUSTIBLES S.A.,4,URQUIZA 1097,9 DE JULIO,BUENOS AIRES,Pampeana,-35.452449,-60.876303
8426,COMBUSTIBLES LIQUIDES AYACUCHO SRL,1,murgier 1801,AYACUCHO,BUENOS AIRES,Pampeana,-37.16051,-58.48761
8428,DEL PARQUE SRL,2,SILVIO TOSELLO 1480,NEUQUEN,NEUQUEN,Patagonia,-38.908931,-68.080039
8429,"PERALTA, CÉSAR EZEQUIEL",1,GÜEMES Y SAN LORENZO,VILLA HUIDOBRO,CORDOBA,Centro,-34.84328,-64.58473
8445,TODO CAMPO S.R.L.,2,RUTA NAC. 148 Y ACCESO A BUENA ESPERANZA,BUENA ESPERANZA,SAN LUIS,Cuyo,-34.756587,-65.271465
8448,LAS MARIAS SRL,8,ALEM 2602,LA RIOJA,LA RIOJA,Noroeste,-29.394233,-66.847258
8449,FABIAN ANGEL GOMEZ,1,LIBERTAD 1085,URDINARRAIN,ENTRE RIOS,Centro,-32.69191,-58.88311
8451,VALPARAISO S.A.,2,Valparaiso 2812,CORDOBA,CORDOBA,Centro,-31.44416,-64.18698
8452,ARMADA ARGENTINA S.A.,1,Av. Armada Argentina 2150,CORDOBA,CORDOBA,Centro,-31.47393,-64.23326
8453,RAÚL E. ALONSO SRL,2,Av Alicia Moreau de Justo 7950,POSADAS,MISIONES,Noreste,-27.419109,-55.931025
8454,MTC SRL,1,Hipolito Yrigoyen 5000,SAN RAFAEL,MENDOZA,Cuyo,-34.595645,-68.389817
8455,J.M. PONCE S.R.L.,26,RUTA  158 KM 284  Y   FCO. MUÑIZ 2600,LAS HIGUERAS,CORDOBA,Centro,-33.0928,-64.30725
8458,ROYAL ENERGY SA,1,Pte. Peron 2434,LAGUNA PAIVA,SANTA FE,Centro,-31.305109,-60.657935
8461,OPERADORA DE ESTACIONES DE SERVICIOS S.A.,2,Ruta Nacional 7 KM 862 - Localidad Desaguadero,SAN LUIS,SAN LUIS,Cuyo,-33.412671,-67.117927
8463,LA RUTA S.A.,26,RUTA NA  12 KM 1027,CORRIENTES,CORRIENTES,Noreste,-27.505119,-58.774082
8464,LIFERNI SRL,28,URQUIZA 621,ROLDAN,SANTA FE,Centro,-32.905804,-60.908513
8465,JNF AMBIENTAL SA,26,AVENIDA ANT. ARGENTINA 30 E/RIVADAVIA,ZARATE,BUENOS AIRES,Pampeana,-34.100624,-59.034605
8466,FREI SA,1,"RUTA E53 KM 43,2",LA GRANJA,CORDOBA,Centro,-31.0074,-64.26529
8467,TERGEN SRL,2,Directorio 2578,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.63446,-58.46313
8468,ERGON COMBUSTIBLE SA,6,Ruta provincial 95 y acceso a Tres Isletas,TRES ISLETAS,CHACO,Noreste,-26.33724,-60.40649
8469,LUIS ANGEL PAVONE,1,AV.JULIO A. ROCA Nº 1307,CORDOBA,CORDOBA,Centro,-31.42856,-64.20951
8470,JOSE ROBERTO GONZALEZ,26,RIVADAVIA 5141,OLAVARRIA,BUENOS AIRES,Pampeana,-36.878316,-60.303287
8471,AN AGRO S.R.L.,1,"Autopista Rosario-Córdoba KM. 313,50",ROLDAN,SANTA FE,Centro,-32.923872,-60.9118
8472,ZITO Y PRIOLA S.R.L.,2,"RUTA 226 KM. 295,90",OLAVARRIA,BUENOS AIRES,Pampeana,-36.889215,-60.287366
8474,OSCAR CHIANTORE SRL,2,Ruta provincial 17 Km 176,LA PARA,CORDOBA,Centro,-30.888234,-62.986599
8476,ARRATE JOSE LUIS,1,AV. 59 N° 4591 ESQ. 98,NECOCHEA,BUENOS AIRES,Pampeana,-38.539906,-58.7588
8477,REGI LA COCHA S.A.,2,RUTA 38 KM 688.90,LA COCHA,TUCUMAN,Cuyo,-27.766682,-65.583418
8479,MAS SINERGIA .SA,2,RUTA 34 KM 406,SELVA,SANTIAGO DEL ESTERO,Noroeste,-29.76083,-62.05745
8481,TRI SOLE S.A.,2,AV. GREGORIO POMAR 901,CORRIENTES,CORRIENTES,Noreste,-27.472391,-58.80598
8482,LOS ESTRIBOS DE GIECO E HIJOS SRL,29,V. URQUIZA Y 3 FEBRERO,VIALE,ENTRE RIOS,Centro,-31.870128,-60.011961
8489,MR COMBUSTIBLES SRL,28,ESTOMBA 198,BAHIA BLANCA,BUENOS AIRES,Pampeana,-38.71692,-62.26867
8492,AGRO-SERVICIOS GAL - SEI S.R.L.,30,RUTA NAC. 95 KM 997.5,CNEL. DUGRATY,CHACO,Noreste,-27.682159,-60.889634
8493,MAZARUKA SA,1,Alsina 1711,LOMAS DE ZAMORA,BUENOS AIRES,Pampeana,-34.756616,-58.395822
8515,AG GAN S.R.L.,26,AV. URUGUAY Y AV. KENNEDY,VILLA ANGELA,CHACO,Noreste,-27.573709,-60.722588
8541,MAS SINERGIA S.A,2,Av. Casares y Alte Brown 100,CERES,SANTA FE,Centro,-29.88344,-61.94435
8544,COMBUSTIBLES ALONSO Y CIA S.R.L.,4,DIAGONAL 74 Y 36 (ENTRE 115 Y 116),LA PLATA,BUENOS AIRES,Pampeana,-34.896559,-57.956285
8546,SCHOLLES OMAR ALBERTO,26,RUTA PCIAL. 13 Y AV. NESTOR KIRCHNER,SAN VICENTE,MISIONES,Noreste,-27.010869,-54.468776
8547,LMG FULLSERVICE SA,26,Calle 30 1310 (e/ 158 y 159),BERISSO,BUENOS AIRES,Pampeana,-34.887544,-57.869112
8548,LAVAYEN JULIAN,28,SAN LUIS Y 25 DE MAYO,CONESA,RIO NEGRO,Patagonia,-40.10949,-64.45165
8549,ESTACIONES DE SERVICIO RUIZ HERMANOS SRL,2,HIPOLITO YRIGOYEN 6727 ESTE,SANTA LUCIA,SAN JUAN,Cuyo,-31.56244,-68.45492
8550,ESTACIONES DE SERVICIO RUIZ HERMANOS SRL,2,AV. ESPAÑA 602 Sur,RAWSON,SAN JUAN,Cuyo,-31.56659,-68.53422
8553,DAZA COMBUSTIBLES,26,Av. Pellegrini 705,PIRANE,FORMOSA,Noreste,-25.74022,-59.10836
