Fecha,id_producto,Precio Ars,id_empresa,Cotizacion_DolarBlue,Precio_dolarBlue,Cotizacion_DolarOficial,Precio_dolarOficial
2016-08-09,6,8.99,3885,15.35,0.5856677378883054,15.05,0.5973421851206658
2016-08-12,21,16.48,3701,15.34,1.074315504307201,14.98,1.1001335449667005
2016-08-15,6,11.7,5980,15.34,0.7627118568200395,14.98,0.7810414123853394
2016-08-15,6,11.7,3110,15.34,0.7627118568200395,14.98,0.7810414123853394
2016-08-16,6,10.15,8103,15.37,0.6603773634075597,14.97,0.6780226999965535
2016-08-30,6,11.99,3530,15.49,0.774047784194027,15.33,0.7821265531423041
2016-09-01,6,8.55,331,15.28,0.5595549836006087,15.16,0.5639841745420288
2016-09-03,6,8.0,2671,15.39,0.5198180520815228,15.2,0.5263157960780771
2016-09-08,6,9.99,1248,15.38,0.6495448586258447,15.29,0.65336821614938
2016-09-09,6,7.9,3674,15.38,0.5136540924068241,15.27,0.5173542739472173
2016-09-29,6,9.5,1875,15.74,0.6035578232619709,15.62,0.6081946267351057
2016-10-01,6,9.99,5387,15.71,0.6359006986468692,15.53,0.6432710992770068
2016-10-05,6,8.0,7208,15.6,0.5128205002804169,15.46,0.5174644230440038
2016-10-07,6,11.48,5358,15.55,0.7382636565393815,15.47,0.7420814351546786
2016-10-07,6,11.48,5165,15.55,0.7382636565393815,15.47,0.7420814351546786
2016-10-07,6,11.44,5357,15.55,0.7356913093040526,15.47,0.7394957855548365
2016-10-08,6,11.99,2583,15.55,0.7710610837898244,15.47,0.7750484675526652
2016-10-08,6,11.45,4245,15.55,0.7363343961128849,15.47,0.7401421979547971
2016-10-13,6,11.99,1478,15.55,0.7710610837898244,15.38,0.7795838693617495
2016-10-14,6,9.19,7726,15.6,0.5891025496971289,15.39,0.5971409873286492
2016-10-15,6,11.0,7131,15.6,0.7051281878855733,15.39,0.7147498216120938
2016-10-21,6,10.99,8566,15.56,0.7062981814669337,15.4,0.7136363813136802
2016-10-21,6,10.99,8104,15.56,0.7062981814669337,15.4,0.7136363813136802
2016-10-22,6,8.2,6491,15.56,0.5269922737059923,15.4,0.532467545657159
